"u","ids","object_id","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
3.7641e-07,3393,0,1,2.06,5,2.06,0
3.9782e-07,3393,0,1,2.07,5,2.07,0
4.1923e-07,3393,0,1,2.08,5,2.08,0
4.4064e-07,3393,0,1,2.09,5,2.09,0
4.6205e-07,3393,0,1,2.1,5,2.1,0
4.8414e-07,3521,0,1,2.11,5,2.11,0
5.1634e-07,3521,0,1,2.12,5,2.12,0
5.4854e-07,3521,0,1,2.13,5,2.13,0
5.8073e-07,3521,0,1,2.14,5,2.14,0
6.1293e-07,3521,0,1,2.15,5,2.15,0
6.4513e-07,3521,0,1,2.16,5,2.16,0
6.7733e-07,3521,0,1,2.17,5,2.17,0
7.0952e-07,3521,0,1,2.18,5,2.18,0
7.457e-07,3649,0,1,2.19,5,2.19,0
7.938e-07,3649,0,1,2.2,5,2.2,0
8.4191e-07,3649,0,1,2.21,5,2.21,0
8.9001e-07,3649,0,1,2.22,5,2.22,0
9.3812e-07,3649,0,1,2.23,5,2.23,0
9.8623e-07,3649,0,1,2.24,5,2.24,0
1.0343e-06,3649,0,1,2.25,5,2.25,0
1.0824e-06,3649,0,1,2.26,5,2.26,0
1.1407e-06,3777,0,1,2.27,5,2.27,0
1.2121e-06,3777,0,1,2.28,5,2.28,0
1.2836e-06,3777,0,1,2.29,5,2.29,0
1.355e-06,3777,0,1,2.3,5,2.3,0
1.4264e-06,3777,0,1,2.31,5,2.31,0
1.4978e-06,3777,0,1,2.32,5,2.32,0
1.5692e-06,3777,0,1,2.33,5,2.33,0
1.6406e-06,3777,0,1,2.34,5,2.34,0
1.7332e-06,3905,0,1,2.35,5,2.35,0
1.8385e-06,3905,0,1,2.36,5,2.36,0
1.9438e-06,3905,0,1,2.37,5,2.37,0
2.0492e-06,3905,0,1,2.38,5,2.38,0
2.1545e-06,3905,0,1,2.39,5,2.39,0
2.2598e-06,3905,0,1,2.4,5,2.4,0
2.3651e-06,3905,0,1,2.41,5,2.41,0
2.4705e-06,3905,0,1,2.42,5,2.42,0
2.6156e-06,4033,0,1,2.43,5,2.43,0
2.7699e-06,4033,0,1,2.44,5,2.44,0
2.9243e-06,4033,0,1,2.45,5,2.45,0
3.0786e-06,4033,0,1,2.46,5,2.46,0
3.233e-06,4033,0,1,2.47,5,2.47,0
3.3873e-06,4033,0,1,2.48,5,2.48,0
3.5416e-06,4033,0,1,2.49,5,2.49,0
3.696e-06,4032,0,1,2.5,5,2.5,0
3.9207e-06,4160,0,1,2.51,5,2.51,0
4.1454e-06,4160,0,1,2.52,5,2.52,0
4.3701e-06,4160,0,1,2.53,5,2.53,0
4.5948e-06,4160,0,1,2.54,5,2.54,0
4.8195e-06,4160,0,1,2.55,5,2.55,0
5.0442e-06,4160,0,1,2.56,5,2.56,0
5.269e-06,4160,0,1,2.57,5,2.57,0
5.5125e-06,4288,0,1,2.58,5,2.58,0
5.8376e-06,4288,0,1,2.59,5,2.59,0
6.1626e-06,4288,0,1,2.6,5,2.6,0
6.4877e-06,4288,0,1,2.61,5,2.61,0
6.8128e-06,4288,0,1,2.62,5,2.62,0
7.1379e-06,4288,0,1,2.63,5,2.63,0
7.463e-06,4288,0,1,2.64,5,2.64,0
7.788e-06,4288,0,1,2.65,5,2.65,0
8.1664e-06,4416,0,1,2.66,5,2.66,0
8.6337e-06,4416,0,1,2.67,5,2.67,0
9.1009e-06,4416,0,1,2.68,5,2.68,0
9.5682e-06,4416,0,1,2.69,5,2.69,0
1.0035e-05,4416,0,1,2.7,5,2.7,0
1.0503e-05,4416,0,1,2.71,5,2.71,0
1.097e-05,4416,0,1,2.72,5,2.72,0
1.1437e-05,4416,0,1,2.73,5,2.73,0
1.2017e-05,4544,0,1,2.74,5,2.74,0
1.2684e-05,4544,0,1,2.75,5,2.75,0
1.3351e-05,4544,0,1,2.76,5,2.76,0
1.4019e-05,4544,0,1,2.77,5,2.77,0
1.4686e-05,4544,0,1,2.78,5,2.78,0
1.5353e-05,4544,0,1,2.79,5,2.79,0
1.602e-05,4544,0,1,2.8,5,2.8,0
1.6688e-05,4545,0,1,2.81,5,2.81,0
1.7565e-05,4673,0,1,2.82,5,2.82,0
1.8511e-05,4673,0,1,2.83,5,2.83,0
1.9458e-05,4673,0,1,2.84,5,2.84,0
2.0405e-05,4673,0,1,2.85,5,2.85,0
2.1352e-05,4673,0,1,2.86,5,2.86,0
2.2299e-05,4673,0,1,2.87,5,2.87,0
2.3245e-05,4673,0,1,2.88,5,2.88,0
2.4192e-05,4673,0,1,2.89,5,2.89,0
2.5503e-05,4801,0,1,2.9,5,2.9,0
2.6837e-05,4801,0,1,2.91,5,2.91,0
2.8172e-05,4801,0,1,2.92,5,2.92,0
2.9507e-05,4801,0,1,2.93,5,2.93,0
3.0842e-05,4801,0,1,2.94,5,2.94,0
3.2176e-05,4801,0,1,2.95,5,2.95,0
3.3511e-05,4801,0,1,2.96,5,2.96,0
3.4913e-05,4929,0,1,2.97,5,2.97,0
3.6782e-05,4929,0,1,2.98,5,2.98,0
3.8652e-05,4929,0,1,2.99,5,2.99,0
4.0521e-05,4929,0,1,3,5,3,0
4.2391e-05,4929,0,1,3.01,5,3.01,0
4.4261e-05,4929,0,1,3.02,5,3.02,0
4.613e-05,4929,0,1,3.03,5,3.03,0
4.8e-05,4929,0,1,3.04,5,3.04,0
5.0098e-05,5057,0,1,3.05,5,3.05,0
5.27e-05,5057,0,1,3.06,5,3.06,0
5.5302e-05,5057,0,1,3.07,5,3.07,0
5.7904e-05,5057,0,1,3.08,5,3.08,0
6.0506e-05,5057,0,1,3.09,5,3.09,0
6.3107e-05,5057,0,1,3.1,5,3.1,0
6.5709e-05,5057,0,1,3.11,5,3.11,0
6.8311e-05,5057,0,1,3.12,5,3.12,0
7.1411e-05,5185,0,1,3.13,5,3.13,0
7.5008e-05,5185,0,1,3.14,5,3.14,0
7.8606e-05,5185,0,1,3.15,5,3.15,0
8.2204e-05,5185,0,1,3.16,5,3.16,0
8.5801e-05,5185,0,1,3.17,5,3.17,0
8.9399e-05,5185,0,1,3.18,5,3.18,0
9.2996e-05,5185,0,1,3.19,5,3.19,0
9.6594e-05,5185,0,1,3.2,5,3.2,0
0.00010112,5313,0,1,3.21,5,3.21,0
0.00010606,5313,0,1,3.22,5,3.22,0
0.000111,5313,0,1,3.23,5,3.23,0
0.00011594,5313,0,1,3.24,5,3.24,0
0.00012089,5313,0,1,3.25,5,3.25,0
0.00012583,5313,0,1,3.26,5,3.26,0
0.00013077,5313,0,1,3.27,5,3.27,0
0.00013571,5313,0,1,3.28,5,3.28,0
0.00014223,5441,0,1,3.29,5,3.29,0
0.00014898,5441,0,1,3.3,5,3.3,0
0.00015572,5441,0,1,3.31,5,3.31,0
0.00016247,5441,0,1,3.32,5,3.32,0
0.00016922,5441,0,1,3.33,5,3.33,0
0.00017596,5441,0,1,3.34,5,3.34,0
0.00018271,5441,0,1,3.35,5,3.35,0
0.0001896,5569,0,1,3.36,5,3.36,0
0.00019875,5569,0,1,3.37,5,3.37,0
0.0002079,5569,0,1,3.38,5,3.38,0
0.00021705,5569,0,1,3.39,5,3.39,0
0.0002262,5569,0,1,3.4,5,3.4,0
0.00023534,5569,0,1,3.41,5,3.41,0
0.00024449,5569,0,1,3.42,5,3.42,0
0.00025364,5569,0,1,3.43,5,3.43,0
0.00026358,5697,0,1,3.44,5,3.44,0
0.00027591,5697,0,1,3.45,5,3.45,0
0.00028823,5697,0,1,3.46,5,3.46,0
0.00030056,5697,0,1,3.47,5,3.47,0
0.00031288,5697,0,1,3.48,5,3.48,0
0.00032521,5697,0,1,3.49,5,3.49,0
0.00033753,5697,0,1,3.5,5,3.5,0
0.00034986,5697,0,1,3.51,5,3.51,0
0.00036401,5825,0,1,3.52,5,3.52,0
0.00038051,5825,0,1,3.53,5,3.53,0
0.00039701,5825,0,1,3.54,5,3.54,0
0.00041351,5825,0,1,3.55,5,3.55,0
0.00043,5825,0,1,3.56,5,3.56,0
0.0004465,5825,0,1,3.57,5,3.57,0
0.000463,5825,0,1,3.58,5,3.58,0
0.0004795,5825,0,1,3.59,5,3.59,0
0.0004994,5953,0,1,3.6,5,3.6,0
0.00052134,5953,0,1,3.61,5,3.61,0
0.00054328,5953,0,1,3.62,5,3.62,0
0.00056522,5953,0,1,3.63,5,3.63,0
0.00058716,5953,0,1,3.64,5,3.64,0
0.0006091,5953,0,1,3.65,5,3.65,0
0.00063104,5953,0,1,3.66,5,3.66,0
0.00065298,5953,0,1,3.67,5,3.67,0
0.00068065,6081,0,1,3.68,5,3.68,0
0.00070964,6081,0,1,3.69,5,3.69,0
0.00073863,6081,0,1,3.7,5,3.7,0
0.00076762,6081,0,1,3.71,5,3.71,0
0.00079661,6081,0,1,3.72,5,3.72,0
0.00082559,6081,0,1,3.73,5,3.73,0
0.00085458,6081,0,1,3.74,5,3.74,0
0.00088357,6081,0,1,3.75,5,3.75,0
0.00092162,6209,0,1,3.76,5,3.76,0
0.00095967,6209,0,1,3.77,5,3.77,0
0.00099772,6209,0,1,3.78,5,3.78,0
0.0010358,6209,0,1,3.79,5,3.79,0
0.0010738,6209,0,1,3.8,5,3.8,0
0.0011119,6209,0,1,3.81,5,3.81,0
0.0011499,6209,0,1,3.82,5,3.82,0
0.0011901,6337,0,1,3.83,5,3.83,0
0.0012398,6337,0,1,3.84,5,3.84,0
0.0012894,6337,0,1,3.85,5,3.85,0
0.001339,6337,0,1,3.86,5,3.86,0
0.0013886,6337,0,1,3.87,5,3.87,0
0.0014382,6337,0,1,3.88,5,3.88,0
0.0014879,6337,0,1,3.89,5,3.89,0
0.0015375,6337,0,1,3.9,5,3.9,0
0.0015926,6465,0,1,3.91,5,3.91,0
0.0016569,6465,0,1,3.92,5,3.92,0
0.0017212,6465,0,1,3.93,5,3.93,0
0.0017854,6465,0,1,3.94,5,3.94,0
0.0018497,6465,0,1,3.95,5,3.95,0
0.001914,6465,0,1,3.96,5,3.96,0
0.0019783,6465,0,1,3.97,5,3.97,0
0.0020426,6465,0,1,3.98,5,3.98,0
0.0021172,6593,0,1,3.99,5,3.99,0
0.0022,6593,0,1,4,5,4,0
0.0022827,6593,0,1,4.01,5,4.01,0
0.0023654,6593,0,1,4.02,5,4.02,0
0.0024481,6593,0,1,4.03,5,4.03,0
0.0025309,6593,0,1,4.04,5,4.04,0
0.0026136,6593,0,1,4.05,5,4.05,0
0.0026963,6593,0,1,4.06,5,4.06,0
0.0027963,6721,0,1,4.07,5,4.07,0
0.0029021,6721,0,1,4.08,5,4.08,0
0.0030079,6721,0,1,4.09,5,4.09,0
0.0031136,6721,0,1,4.1,5,4.1,0
0.0032194,6721,0,1,4.11,5,4.11,0
0.0033252,6721,0,1,4.12,5,4.12,0
0.003431,6721,0,1,4.13,5,4.13,0
0.0035367,6721,0,1,4.14,5,4.14,0
0.0036693,6849,0,1,4.15,5,4.15,0
0.0038036,6849,0,1,4.16,5,4.16,0
0.0039379,6849,0,1,4.17,5,4.17,0
0.0040723,6849,0,1,4.18,5,4.18,0
0.0042066,6849,0,1,4.19,5,4.19,0
0.0043409,6849,0,1,4.2,5,4.2,0
0.0044752,6849,0,1,4.21,5,4.21,0
0.004614,6977,0,1,4.22,5,4.22,0
0.0047834,6977,0,1,4.23,5,4.23,0
0.0049529,6977,0,1,4.24,5,4.24,0
0.0051224,6977,0,1,4.25,5,4.25,0
0.0052919,6977,0,1,4.26,5,4.26,0
0.0054613,6977,0,1,4.27,5,4.27,0
0.0056308,6977,0,1,4.28,5,4.28,0
0.0058003,6977,0,1,4.29,5,4.29,0
0.0059832,7105,0,1,4.3,5,4.3,0
0.0061956,7105,0,1,4.31,5,4.31,0
0.0064079,7105,0,1,4.32,5,4.32,0
0.0066203,7105,0,1,4.33,5,4.33,0
0.0068327,7105,0,1,4.34,5,4.34,0
0.0070451,7105,0,1,4.35,5,4.35,0
0.0072575,7105,0,1,4.36,5,4.36,0
0.0074699,7105,0,1,4.37,5,4.37,0
0.0077083,7233,0,1,4.38,5,4.38,0
0.0079726,7233,0,1,4.39,5,4.39,0
0.008237,7233,0,1,4.4,5,4.4,0
0.0085014,7233,0,1,4.41,5,4.41,0
0.0087658,7233,0,1,4.42,5,4.42,0
0.0090302,7233,0,1,4.43,5,4.43,0
0.0092946,7233,0,1,4.44,5,4.44,0
0.009559,7233,0,1,4.45,5,4.45,0
0.0098663,7361,0,1,4.46,5,4.46,0
0.010193,7361,0,1,4.47,5,4.47,0
0.01052,7361,0,1,4.48,5,4.48,0
0.010847,7361,0,1,4.49,5,4.49,0
0.011174,7361,0,1,4.5,5,4.5,0
0.011501,7361,0,1,4.51,5,4.51,0
0.011828,7361,0,1,4.52,5,4.52,0
0.012155,7361,0,1,4.53,5,4.53,0
0.012547,7489,0,1,4.54,5,4.54,0
0.012948,7489,0,1,4.55,5,4.55,0
0.01335,7489,0,1,4.56,5,4.56,0
0.013751,7489,0,1,4.57,5,4.57,0
0.014153,7489,0,1,4.58,5,4.58,0
0.014554,7489,0,1,4.59,5,4.59,0
0.014956,7489,0,1,4.6,5,4.6,0
0.015363,7617,0,1,4.61,5,4.61,0
0.015852,7617,0,1,4.62,5,4.62,0
0.016342,7617,0,1,4.63,5,4.63,0
